Sr No,State,District,Hospital Name,Phone Number
88,Kerala,Thrissur,Government Medical College Thrissur,0487-2432277
89,Karnataka,Bangalore,Victoria Hospital,080-22346251
90,Karnataka,Mysore,Mysore Medical College,0821-2419247
91,Karnataka,Hubli,KIMS Hubli,0836-2322750
92,Karnataka,Bellary,Bellary District Hospital,08392-233145
93,Karnataka,Udupi,Udupi District Hospital,0820-2527027
94,West Bengal,Kolkata,S.S.K.M. Hospital,033-22120699
95,West Bengal,Howrah,Howrah District Hospital,033-26530329
96,West Bengal,Durgapur,Durgapur Steel Plant Hospital,0343-2542015
97,West Bengal,Asansol,Asansol District Hospital,0341-2254773
98,West Bengal,Malda,Malda Medical College Hospital,03512-252426
99,Andhra Pradesh,Visakhapatnam,King George Hospital,0891-2741215
100,Andhra Pradesh,Vijayawada,Government General Hospital,0866-2477777
101,Andhra Pradesh,Tirupati,Tirupati District Hospital,0877-2285677
102,Andhra Pradesh,Nellore,Nellore District Hospital,0861-2322969
103,Andhra Pradesh,Kakinada,Kakinada Government Hospital,0884-2373100
104,Telangana,Hyderabad,Osmania General Hospital,040-27689081
105,Telangana,Warangal,Warangal District Hospital,0870-2457007
106,Telangana,Khammam,Khammam Government Hospital,08742-242330
107,Telangana,Karimnagar,Karimnagar District Hospital,0878-2244178
108,Telangana,Nizamabad,Nizamabad District Hospital,08462-220646
109,Punjab,Amritsar,Guru Nanak Dev Hospital,0183-2503825
110,Punjab,Ludhiana,Dayanand Medical College,0161-2410205
111,Punjab,Jalandhar,Civil Hospital Jalandhar,0181-2221321
112,Punjab,Patiala,Rajindra Hospital,0175-2216011
113,Punjab,Bhatinda,Civil Hospital Bathinda,0164-2210787
114,Assam,Guwahati,Guwahati Medical College,0361-2528417
115,Jharkhand,Ranchi,Rajendra Institute of Medical Sciences,0651-2541533
116,Odisha,Bhubaneswar,AIIMS Bhubaneswar,0674-2476789
117,Chhattisgarh,Raipur,Dr. Bhimrao Ambedkar Memorial Hospital,0771-2888000
118,Goa,Panaji,Goa Medical College,0832-2458727
119,Meghalaya,Shillong,NEIGRIHMS,0364-2538029
120,Manipur,Imphal,RIMS Imphal,0385-2414629
121,Nagaland,Kohima,Naga Hospital Authority,0370-2220123
122,Tripura,Agartala,Agartala Government Medical College,0381-2357000
123,Mizoram,Aizawl,Civil Hospital Aizawl,0389-2322310
124,Sikkim,Gangtok,STNM Hospital,03592-202222
125,Arunachal Pradesh,Itanagar,Tomato Memorial Hospital,0360-2212424
126,Uttarakhand,Dehradun,Doon Medical College,0135-2726020
127,Himachal Pradesh,Shimla,Indira Gandhi Medical College,0177-2659966
128,Jammu and Kashmir,Srinagar,Sher-i-Kashmir Institute of Medical Sciences,0194-2401013
129,Ladakh,Leh,SNM Hospital Leh,01982-252012
